ID,Medicine Name,Quantity,Price (â‚¹),Symptoms Treated,Requires Prescription,Expiry Date
1,Paracetamol 500mg,150,15,Fever & Headache & Pain,No,2026-12-31
2,Ibuprofen 200mg,120,25,Inflammation & Pain & Fever,No,2026-11-30
3,Amoxicillin 250mg,45,60,Bacterial Infection,Yes,2026-09-15
4,Cetirizine 10mg,200,35,Allergy & Skin Rash & Itching,No,2027-02-28
5,Omeprazole 20mg,80,45,Acidity & Gastric Issues & Heartburn,Yes,2026-08-20
6,Metformin 500mg,100,50,Type 2 Diabetes,Yes,2026-10-10
7,Crocin Cold + Flu,200,40,Common Cold & Cough & Fever,No,2026-07-30
8,Aspirin 500mg,180,20,Pain & Fever & Heart Health,No,2027-01-15
9,Dolo 650mg,160,18,Body Pain & Headache & Fever,No,2026-12-25
10,Azithromycin 500mg,35,85,Bacterial Infection & Respiratory Infection,Yes,2026-06-30
11,Loratadine 10mg,140,30,Allergy & Hay Fever & Watery Eyes,No,2027-03-10
12,Ranitidine 150mg,90,35,Acidity & Ulcers & Indigestion,Yes,2026-09-30
13,Ciprofloxacin 500mg,25,75,Bacterial Infection & UTI,Yes,2026-05-20
14,Salbutamol Inhaler,50,120,Asthma & Shortness of Breath,Yes,2026-08-15
15,Vitamin B12 1000mcg,220,55,B12 Deficiency & Fatigue & Weakness,No,2027-04-30
16,Iron Supplement 325mg,180,40,Anemia & Iron Deficiency,No,2026-11-15
17,Calcium Carbonate 500mg,150,35,Calcium Deficiency & Weak Bones,No,2027-05-20
18,Levocetirizine 5mg,130,32,Allergy & Hives & Itching,No,2026-10-25
19,Serratiopeptidase 10mg,100,45,Inflammation & Swelling & Pain,No,2026-09-10
20,Mefenamic Acid 250mg,85,28,Period Pain & Body Pain & Fever,Yes,2026-07-20
